2022-04-24 15:19:34.453 INFO  [27083] [Server::run@539] Server listening on localhost:1234
2022-04-24 15:19:37.432 INFO  [27087] [SGXORAMService::init_enclave@179] Trying to initialize the enclave with id 0
2022-04-24 15:19:38.433 DEBUG [27087] [ocall_printf@41] [enclave] Initializing crypto manager

2022-04-24 15:19:38.434 DEBUG [27087] [ocall_printf@41] [enclave] Initializing the remote attestation context...
2022-04-24 15:19:38.440 INFO  [27087] [SGXORAMService::generate_session_key@212] Begin to generate DH key pair...
2022-04-24 15:19:38.440 DEBUG [27087] [ocall_printf@41] [enclave] Creating a new ECC system...

2022-04-24 15:19:38.440 DEBUG [27087] [ocall_printf@41] [enclave] Key pair sampled! PK: 5ecdbad5a4d8132bb2e5e347e8a8f5fd8956971b9901b4e18070b120a5c485b9cc88887aaeb3207118479542a4ed188770f6af6b5588c0f544a22e0e4154b43a, SK: 335b2ff9e2c187958165bc9f387a4a4bed1be8fcc7407ae79701d0da5152d3ac
2022-04-24 15:19:38.443 INFO  [27177] [SGXORAMService::generate_session_key@212] Begin to generate DH key pair...
2022-04-24 15:19:38.443 DEBUG [27177] [SGXORAMService::generate_session_key@240] In server runner: 2721a8a77125e6fb580da3267303eadae3d3aaeec90637d10bb58e26c1b4be834d18049d052e75b762ee7b147e6c412e427bdb9c302fa9828ac38c011141e560
2022-04-24 15:19:38.443 DEBUG [27177] [ocall_printf@41] [enclave] Client public key: 2721a8a77125e6fb580da3267303eadae3d3aaeec90637d10bb58e26c1b4be834d18049d052e75b762ee7b147e6c412e427bdb9c302fa9828ac38c011141e560
2022-04-24 15:19:38.444 DEBUG [27177] [ocall_printf@41] [enclave] Shared key computed: ba93fc496ec93dd081be98778b2f2548240481bf78ff09626bb57a7542fc00c4
2022-04-24 15:19:38.444 DEBUG [27177] [ocall_printf@41] [enclave] The session key is established! The key is c503ca2b7d7db68ce18c80c4531b0126
2022-04-24 15:19:38.494 DEBUG [27087] [SGXORAMService::check_verification_message@570] The verification message is c4ee613908a6fd7e49d3328e11ef78693d45a6fed49ae14cbdf10a83e792cd1126
2022-04-24 15:19:38.494 DEBUG [27087] [ocall_printf@41] [enclave] Decrypted message: Hello
2022-04-24 15:19:38.494 DEBUG [27087] [ocall_printf@41] [enclave] The verification message is correct!
2022-04-24 15:19:38.494 INFO  [27087] [SGXORAMService::check_verification_message@579] The server has successfully verified the secret data.
2022-04-24 15:19:38.494 INFO  [27087] [print_oram_config@47] ORAM Configuration:
2022-04-24 15:19:38.494 INFO  [27087] [print_oram_config@48]   way: 16
2022-04-24 15:19:38.494 INFO  [27087] [print_oram_config@49]   number: 200000
2022-04-24 15:19:38.494 INFO  [27087] [print_oram_config@50]   bucket_size: 32
2022-04-24 15:19:38.494 INFO  [27087] [print_oram_config@51]   type: 2
2022-04-24 15:19:38.494 INFO  [27087] [print_oram_config@52]   constant: 1
2022-04-24 15:19:38.494 INFO  [27087] [print_oram_config@53]   round: 1
2022-04-24 15:19:38.494 INFO  [27087] [print_oram_config@54]   level: 5
2022-04-24 15:19:38.494 INFO  [27087] [print_oram_config@55]   oram_type: 1
2022-04-24 15:19:38.494 DEBUG [27087] [SGXORAMService::init_oram@487] The server has properly configured the ORAM.
2022-04-24 15:19:38.619 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 7c838e8cc9a5ab18c2a522723b5690f7c487253ffcd7f7b614ce15a2c45df2ea
2022-04-24 15:19:38.629 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: c3d4dbc493e44e680dce2136ffad404f1f1a3d89cd690d57ff4c7d08a4842cca
2022-04-24 15:19:38.639 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 07c4f2108f4c2f1e9dbefc96022de0ddead60a7d96beafee0cc847573aa0ea12
2022-04-24 15:19:38.647 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 9ec5698f0a1b5ad93340ee1ed49d9ee6dd4649ea91bcb5fd502543b48368d114
2022-04-24 15:19:38.656 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 7286dbdd1bba3f9222cab0f19ee8bf00e73777f62cc4cc9245cc677cb2de1571
2022-04-24 15:19:38.664 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 9ac1f579be25052c6c637b3ed78224f7739a793d17ea8b52bae24485fe6c9396
2022-04-24 15:19:38.673 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 4a023509d85b24f2193fb9ed3f7067cfb6081dd391a0ef6b98e24c320f80659c
2022-04-24 15:19:38.682 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: b152860f10288c72ca69592abc1e8452e1f29be83781e96911b3a0f18ac57694
2022-04-24 15:19:38.691 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 76d8a746970fc077b20555f96e4621df1cd3df26d76aeb232ec048ff1482b830
2022-04-24 15:19:38.700 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: b8ab16541e23aabaa26e40d5c8a6c8abcdd8e368a66fe5b09974ef96c11da851
2022-04-24 15:19:38.708 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: a3f4551a51248cfdb158591c2f0aa63c7351985dd9646d1a4d2beb54a56e7bb2
2022-04-24 15:19:38.717 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: c3ddc08982c49fe8a7be106a7259818e02a9cc1d92f12b20da6613f1d021c609
2022-04-24 15:19:38.726 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: c212f9f8df332ac5a50a20410b7b89dc19898bb5010de60e128ff12fa39b49ac
2022-04-24 15:19:38.735 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: e98dcadf010f5335945f6c7599fd66502adca104996a9c037cb6d9ae2df8fd4f
2022-04-24 15:19:38.743 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 394808a005634c9477e655429264da0fcbc78fdb5cef5ed210acc94b1b04c264
2022-04-24 15:19:38.752 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 4bd972e1a6947c24a88bb87539f4ee7ad02ae322fd94e06fc5862bcab2de1dd9
2022-04-24 15:19:38.761 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 0cb741c2c046619ca96c36b242931941b3e5b1a4da566620008d81803f99bea2
2022-04-24 15:19:38.770 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 949de7cd6d946979adc63fe22dcb7e3451a3cbe3d09fedfcb2783a7c903febf5
2022-04-24 15:19:38.778 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: ad8a74b99c73f2ef54f0f5405d59af5e3d957fb8a0e6e7a7996aba71470ec751
2022-04-24 15:19:38.787 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 376c299079b2f87d9df2447ff292c36dbda08c71e105b0bf270789c50170f11b
2022-04-24 15:19:38.796 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 3b5fb9026bfe5b0648a3b6a0da7f99134809b8cc65e34042538831ec4290b5d9
2022-04-24 15:19:38.804 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 629fe03a4d8c29c6d1ea90fe81e0f342fca45ed801bffa77c81df45ada99f126
2022-04-24 15:19:38.813 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 4c8722f51cf2e6b9130dd6dbea591a4137a125462f31e6e3c00bb5cef637f176
2022-04-24 15:19:38.821 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: df7a16353be00192582cfbd45b86ae85b4ea1ac577c598d41adca5eedf881447
2022-04-24 15:19:38.830 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 4d40f21c0d34ee44564d83cf73ac455e51405363a90a0e76a658d2fdd3fb7510
2022-04-24 15:19:38.838 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 0bff87b0c529e245b25e9b5cf54038820e6fdb70cafad86fcd1db94139da53af
2022-04-24 15:19:38.847 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: e4afd4af5835f4b56db12d4418843f5ee8a9a79ef11715e9d87d55aab9ee3a75
2022-04-24 15:19:38.855 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 59b01f142d52b2f6575d61cf330f2c117f8c502b1aca708b039017293dbf806d
2022-04-24 15:19:38.864 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: cfc984f0ed08f9b4eb6fc78819abd17e24e954813400f48bb6922ad00da7fd34
2022-04-24 15:19:38.873 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: a68d648a47cec8bf2e83596b7fcc984c75ea17b5ab2f99f8a093928bce0c01af
2022-04-24 15:19:38.882 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 4d8d2c5578626fd7e3c307c3b728fb419e97ae927a6679d7dc024f2926dc6f9c
2022-04-24 15:19:38.890 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: d15d7bec9b22c4c1b1b778e7bb5030d845388ef38abf6b247e7533c0ab575dcd
2022-04-24 15:19:38.899 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 7e54de70857fc90159d166a6adacec4aaf18f4d3f3f93337a8bfa99b332d7cf2
2022-04-24 15:19:38.908 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 234ed2cf278a36de2c1053cf8bc0d830ca71770298b06b5b20ccdddddb60ab30
2022-04-24 15:19:38.917 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 8f11f45afb63266cba9ec39b83f40115d728373dc211ca736690afd7b3cc5b26
2022-04-24 15:19:38.926 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 27f632f1fdc6b7e69d5ea24de24fea79b3ab375c53a35284aca6a954bcaa5516
2022-04-24 15:19:38.934 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: b49af4f61a335b40b28a518694fdc2983691da7ff27eb1fecd9bc11133981cb2
2022-04-24 15:19:38.942 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: aa1624288e35a3e7422600d9766182eef2bba581a90e991a5f95c5025d3fbca6
2022-04-24 15:19:38.952 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: fd0fdebd17ec79b2b6173a310141a7709d57a4ac796f2777851b37b71a8e9535
2022-04-24 15:19:38.960 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 22c43d82f1ce85547af42af9ff4fd6b647b9abdc101b236f3d8edc3f69242be1
2022-04-24 15:19:38.969 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 46538f1733115c68a305ddd1556d48d6e0715455fd45be0f77e4f2ba9430f9d4
2022-04-24 15:19:38.977 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 900f68bfdeb91513069bf4bec096cddc2e561a550ebcbbd97f1a4228e9878bfe
2022-04-24 15:19:38.986 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: c62b2f4ef1d0440d103c6d80a985be11514ee8993726a896bcf826b14b41914c
2022-04-24 15:19:38.995 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: af48066e537b514692d4906de36f60fecbe60b3e5757c2a1d34dfff7cb2c0586
2022-04-24 15:19:39.004 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 881158ba8628867c88c9e1eda181b2b36bb50c4f41e1474bd8e2a36a37e57105
2022-04-24 15:19:39.013 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 7a820a0d889becbb7315376db77c486d4bddc3c2fe89b537277c801a92a1b1a1
2022-04-24 15:19:39.021 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: c9ce0d89f86c82793af43e8e155948f996a20c36a59d64df721f36a2e23eb7f0
2022-04-24 15:19:39.030 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: df4f4cef376e1e978a4814a1235b5eb100a66d1cfa9dd6be30245c4cafd0c9b7
2022-04-24 15:19:39.039 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: ed60b2a029affdbc9d523c749da8863f4f8e8780440a55374612e0a7c37510dc
2022-04-24 15:19:39.047 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 52dce077e181b069b9d46d00038356e8b1018575931b8d33a620dea2c8d964ca
2022-04-24 15:19:39.055 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 4187a98ce2fda979f015e99c7c4cc0196e45d02bac760317c53dc462214fa328
2022-04-24 15:19:39.064 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: fefd1caed1f64c6ea6740811dfa4ee180cf3c64ea22b8e3c9a4556a0c9daf838
2022-04-24 15:19:39.073 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: a465260007b9695b3e784b4d0af685c639dfaebc74c354399c5fcc5c087cd157
2022-04-24 15:19:39.082 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 1951c425d2b47633a716a2320e1bc3a0527a31f978c3ea246fc68049781d9f84
2022-04-24 15:19:39.091 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: a5efc7c0e6c844f05921df36f5f9b6bedb88f0e926f56293a9ef5022dee4d3c5
2022-04-24 15:19:39.100 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 67635c8580603a7708928b3a39af535b2ece8241b564e0f825d3a362eeb9313f
2022-04-24 15:19:39.109 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 6aef40362374b5563772059eec29aefbc765d45b12fa7181a0661fecf6ea2729
2022-04-24 15:19:39.118 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 115bc2de4405ff0281f82befdd753fdb2c44a5122bc27dee6b6d9b2d1ed4f195
2022-04-24 15:19:39.126 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 85da72a11d31834eeb0e353094360902557e267fe4858bf725b96eeab09c50cd
2022-04-24 15:19:39.135 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 2516146560c5c1557c57ca7e8e7bea8ff46d5ca78d053e569083c0db9992e59b
2022-04-24 15:19:39.143 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: a7e35bfd4e9cfd670cef0f8874bac80bc323bb3e4e943e20222599327ce8553b
2022-04-24 15:19:39.152 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 79822b4d8bd5c7f4ef10649836a5c97a71df8e466a75972523de526b92efda5a
2022-04-24 15:19:39.161 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 30e1e5f5b9ac0d7bfbb0ec05baeae6ab7a2a19b5d6d888996d94e451c1162c72
2022-04-24 15:19:39.169 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 6c04052f0417a5b21ef83484d8fcaf820e4678b6f84c4cb4db117c2bea548e37
2022-04-24 15:19:39.177 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: dc6e4850558cbb64d422f9a18fecadcd94e7178dab3d4a973d28400a2336445c
2022-04-24 15:19:39.185 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: ce27db60859a16f8aa1da9941cf5053558d98e347d2106437f98f5fbba60d83c
2022-04-24 15:19:39.194 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 852e84e6dd07f2b78b6a45a82bcbf1c450fd7b03b5790e90a3fea9f1e87b8f04
2022-04-24 15:19:39.202 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 3befd8ad2a5797ea1b765e3ed1bd2303190fe586b39efb18221771adf91703e7
2022-04-24 15:19:39.211 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 0a30c767204529682af9860090a101ab9e44581712a854918edcb2f036399fc9
2022-04-24 15:19:39.219 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 82c7ad184de65fdcb0f9ac62c6afdde9e9e67c75bbad77933ca399b4fcdd6948
2022-04-24 15:19:39.227 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 258df77a69421367a0a636c91ca17d08d598bd96d69da0b2db35229b8426f7ab
2022-04-24 15:19:39.235 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 59d309f115f430fabbf623c9faa55fe31bf87e77d4548604c35c39f2bd8fdfbf
2022-04-24 15:19:39.243 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: deffad25a57b7b4fb5b4f37b8dc1f8a4ef80bf8aa87309c6017ef23cce19f139
2022-04-24 15:19:39.252 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: cdcb36aeb804a32b1b1cc4b2f38a55cd989343a64c3a690af6becf60167143ee
2022-04-24 15:19:39.260 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 924ae22247ba0d4fc9e39a3ab5c45b16e72b03c0aac5de2f832d23d08f56ce2a
2022-04-24 15:19:39.269 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 876edadd717f34915cb46acc1a17979792780ad09e6865a2798024ab20040cf1
2022-04-24 15:19:39.277 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: f0f40504241f72789c04e7c72f685ac74cc21fef9f296f2eacd74d2dcec131ff
2022-04-24 15:19:39.286 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 590a9e2f3acde4a4df70be9aeb327ae25c036352174839199a91d94114919bfc
2022-04-24 15:19:39.294 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: d80c6403d509f4200bb22ca626ca514ec653b695320c64a838cf53b11e1d3844
2022-04-24 15:19:39.302 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 6f7868c58e074a809a94c4e90d8e9a218ea7ad9cc2a1019c6392b311cd78e2d2
2022-04-24 15:19:39.311 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 03b32b1ee1fd91d699c8866d22100ad39ce5868a3667fdfb48e5c60bfb6daabb
2022-04-24 15:19:39.320 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 5ae503ef7de0f861da5a0f77c28dce9369ff98671694a35a83b68dbb986db88f
2022-04-24 15:19:39.328 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: c596f5ddadb24cba9e7699bf7b99c9f17783f086032c0a4889764863e6c7757e
2022-04-24 15:19:39.336 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: f5f424871795f31c7f0f44b692c5d592ef7ccc64a8bb61e28d986e2d6c54607e
2022-04-24 15:19:39.344 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 5b13a0acafe751a9a9caa55d1f528da281ece98eeb8ef40845b451d6c83c65dc
2022-04-24 15:19:39.352 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 698f82fe8d6589b1f7d72537cfcee3417ca8cad5702c73c2f7ef0f761660b82a
2022-04-24 15:19:39.361 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: b2e7047908f3f1e29d0c468726c611060d794c975664cb212ea56bcff11ea686
2022-04-24 15:19:39.369 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 1b977910b8ef0b04c2f48bba598bef2f96f1f2a7a4e1436197244876fde0829b
2022-04-24 15:19:39.377 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 0afbab571618c6ad79ac502fba018b88fa68a03b9056bee0ac4741578f9f3e33
2022-04-24 15:19:39.385 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 8e76efb4bd44b8c720e6d0fdb95cf1c4594f98e1914d75145f39384941583b43
2022-04-24 15:19:39.393 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: d7d6ff86822ba5d32560ec297a510ff2003bd19547e34ee0019a345f73a39fe1
2022-04-24 15:19:39.402 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: e7f3abcc8ecfbb35c29d140f4fe45f15e5d6483458ab4f3d164d5014621eff69
2022-04-24 15:19:39.410 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 6c59af051b378c490aa17304cfb9809e08aeb9da88e7e8014fa2787d51d2593d
2022-04-24 15:19:39.418 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 87b08d118cb9cdef930b9f1aff409c15fe460e219fe44e23f5d2784891589311
2022-04-24 15:19:39.426 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: a031da422581c1657b690147bd31a5316f20f9037a85359bd55e6d66a6f0074e
2022-04-24 15:19:39.434 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: d63900cbd5e73f66cdf7de4cc765fd6ffb305ecbeec199e8f1504979c47eacea
2022-04-24 15:19:39.443 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: b093a1988cedcf8e6864771eaef986ed86d321fc7e6b649bfa80d8caeb201d06
2022-04-24 15:19:39.455 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: c7222ed6f4e21e687d2657e932025d69a71f4868dc08bf076c46d6bda40f8b2e
2022-04-24 15:19:39.463 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: cb57356b53b85c5e9af8f1a5aa8531a8f0f2bd8603470ea5c31b98b98ffd7716
2022-04-24 15:19:39.471 DEBUG [27087] [ocall_write_slot@33] The fingerprint for the slot is: 2c460b33084933e8ec9c9c5dd779c3d3c526a94fddb6b9881fd30fbeaeb2492b
